Австралия,Канберра
Австрия,Вена
Азербайджан,Баку
Албания,Тирана
Аргентина,Буэнос-Айрес
Армения,Ереван
Бангладеш,Дакка
Беларусь,Минск
Бельгия,Брюссель
Болгария,София
Бразилия,Бразилиа
Великобритания,Лондон
Венгрия,Будапешт
Вьетнам,Ханой
Германия,Берлин
Греция,Афины
Грузия,Тбилиси
Дания,Копенгаген
Египет,Каир
Израиль,Иерусалим
Индия,Нью-Дели
Индонезия,Джакарта
Ирландия,Дублин
Исландия,Рейкьявик
Испания,Мадрид
Италия,Рим
Казахстан,Астана
Канада,Оттава
Китай,Пекин
Куба,Гавана
Латвия,Рига
Литва,Вильнюс
Мексика,Мехико
Молдова,Кишинёв
Нидерланды,Амстердам
Новая Зеландия,Веллингтон
Норвегия,Осло
Польша,Варшава
Португалия,Лиссабон
Россия,Москва
Румыния,Бухарест
Сербия,Белград
США,Вашингтон
Турция,Анкара
Узбекистан,Ташкент
Украина,Киев
Финляндия,Хельсинки
Франция,Париж
Швейцария,Берн
Эстония,Таллин
